 ,X,Y
1,312.611,21.093
2,294.269,21.808
3,362.619,32.760
4,283.500,24.500
5,278.100,27.100
6,239.314,50.571
7,422.537,74.870
8,213.000,79.000
9,205.500,88.500
10,199.600,99.000
11,435.500,93.500
12,442.308,113.267
13,326.973,304.661
14,192.750,112.000
15,189.050,124.400
16,446.167,135.500
17,186.500,136.500
18,186.000,142.000
19,449.060,151.060
20,183.786,149.500
21,183.658,161.921
22,450.077,169.615
23,184.500,171.000
24,184.167,178.500
25,448.333,182.917
26,185.500,186.000
27,375.500,187.500
28,448.250,190.000
29,188.079,199.500
30,447.200,197.100
31,248.500,194.500
32,444.500,209.318
33,362.907,220.722
34,385.378,222.841
35,354.500,221.500
36,184.500,274.000
37,334.500,319.500
38,336.500,320.500
39,399.500,352.500
40,393.500,356.500
41,421.500,362.000
42,420.500,365.500
43,422.500,365.500
44,418.500,367.500
45,421.000,368.500
46,445.500,372.500
47,246.500,375.500
48,258.333,397.833
49,261.500,399.500
50,267.833,409.167
51,221.000,420.000
52,300.100,423.900
53,370.500,425.500
54,303.500,428.500
55,305.500,428.500
56,208.310,436.167
57,307.000,435.500
58,319.500,439.045
59,351.500,438.500
60,359.500,438.500
61,210.500,442.000
62,213.000,443.500
63,319.500,443.500
64,351.500,443.500
65,314.500,444.500
66,213.500,445.500
67,319.300,449.700
68,341.500,448.500
69,344.500,448.500
70,349.500,450.500
71,334.500,452.500
72,319.500,454.000
73,317.500,454.500
74,321.500,454.500
75,340.000,454.500
76,337.500,455.500
77,320.500,456.500
78,363.000,457.500
79,337.100,459.700
80,356.500,459.500
81,359.500,459.500
82,341.500,461.500
83,338.500,463.500
84,333.500,464.500
85,340.500,464.500
